Input.original_query,Input.query,Answer.question1,Answer.question2,Answer.question3,Answer.question4,Answer.question5,Answer.question6
"Awesome, good to know. How does Open Banking regulation relate to PSD2?",How does Open Banking regulation relate to PSD2?,What is Open Banking?,What is PSD2?,What is the difference between PSD2 and PSD1?,What does PSD2 accomplish?,What are the benefits of open banking and PSD2?,What makes PSD2 and Open Banking significant?
What are the different types of rocket engines.,different types of rocket engines,what are the four type of rockrt engines?,what are the five different types of rockets?,what is the most effcient type of rocket angines?,what is the most common rocket engine?,what are the three types of propulsion rocket systems?,why are hybrid rockets not used?
I’ve heard it’s really good and would love to try it. What makes Argentinian beef special?,What makes Argentinian beef special?,what is so special about argentinian beef?,how is argentinian steak different?,what is argentina style beef?,what the best beef in the world?,which country has the best meat quality?,what meat is argentina known for?
I’ve heard it’s really good and would love to try it. What makes Argentinian beef special?,What makes Argentinian beef special?,what is so special about argentinian beef?,what is argentinian style beef?,can you buy argentinian beef in the united states?,ls beef cheap in argentina?,how do you cook argentina beef?,why is beef so popular in argentina?
I’ve heard it’s really good and would love to try it. What makes Argentinian beef special?,What makes Argentinian beef special?,Is Argentinian beef better than other beef?,Do Argentinian cows eat a special diet?,How is Argentinian beef different from other countries?,Are there health benefits to Argentinian beef?,How is Argentinian cattle raised?,Why is the flavor in Argentinian beef different from other countries?
What are the main differences between the RD-270 and SpaceX Raptor rocket engines?,main differences between the RD-270 and SpaceX Raptor rocket engines,What makes the Raptor engine special ?,Is raptor the most powerful rocket engine?,What is the best rocket engine evar made ?,is spaceX raptor engine the king of rocket engines ?,what are the 3 types of rocket engines ?,why are Raptor engines Green ?
What happens when corals die and the carbon falls to the ocean?,What happens when corals die and the carbon falls to the ocean?,Do corals die?,What happens to carbon in the ocean?,Do corals turn to carbon?,Are corals made of carbon?,What makes corals die?,What happens to dead corals?
What happens when corals die and the carbon falls to the ocean?,What happens when corals die and the carbon falls to the ocean?,What happens to the ocean if coral reefs die?,How does carbon affect coral?,What are the main causes of coral reefs dying or being damaged?,What color is coral when it dies?,What causes corals to die?,Why do we need to protect coral reefs?
bikepacking,bikepacking,What is bikebacking?,What are difference between bike packing and bike touring?,How many miles can you bikeback in ine day?,What kind of bike is best for bikebacking?,How much weight should i take bikepacking?,How to plan a bikepacking route?
bike touring,bike touring,how do plan a bike tour?,how do choose a bike for bike touring?,what is considered a touring bike?,is bike touring hard?,what is the difference between bike packing and touring?,what is difference between road bike and touring?
what are bikepacking bags?,bikepacking bags,bikepacking bags for mountain bikes,bikepacking bags for touring,bikepacking bags for camping,bikepacking bags for handlebars,bikepacking bags for gear storage,bikepacking bags for bike frames
can any bike be used for bikepacking?,can any bike be used for bikepacking?,What is bikepacking?,How does one go bikepacking?,Does bikepacking require camping?,Is bikepacking done on trails?,Is bikepacking done in the woods?,Is bikepacking difficult/strenuous?
best bike seat for women,best bike seat for women,do female riders need women bikes sanddle?,how do you choose the right sanddle?,how do you choose women's bike seat?,how can i make my bike seat more comfortable for women?,why do woman's bike seats have holes?,why are bike seats uncomfortable for women?
best bike seat for women,best bike seat for women,What is the best bike seat for women?,Do women need a different bike seat?,Can women use men's bike seats?,Who can use a woman bike seat?,Best looking women's bike seat?,Comfiest women's bike seat?
Let���s talk about Captain America The Winter Soldier���s far-reaching implications for the Marvel Cinematic Universe.,Captain America The Winter Soldier,Who is the first avenger?,what character chris evans acted in marvel universe?,In which character betty has own a dance with?,who is the opposite character for red skull?,I can do it all day long which famous marvel character said this?,"Apart from thor, vision who lifted thors hammer in avengers endgame?"
"That���s a fair point, but I would argue that Iron man and Thor had great arcs like Captain America in their own movies.",Iron man,how is like to the iron man?,who is the iron man ?,whats is the iron man rool ?,how to the power in iron man ?,which is the place in the iron man ?,what is the iron man work ?
"That���s a fair point, but I would argue that Iron man and Thor had great arcs like Captain America in their own movies.",Iron man,What was  Iron man's cause of death?,Why he is called iron man?,Who is iron man?,Is iron man is hero?,Is iron man is villain?,Does iron man have a love interest?
"Okay, what is the future of the Marvel Cinematic Universe franchise?",future of the Marvel Cinematic Universe franchise,What is the future of Marvel Cinematic Univers franchise?,What's next for Marvel Cinematic Universe after Endgame?,What does Marvel have planned for the future?,Who owns the Marvel Cinematic Universe francise?,What is order of the marvel cinematic universe?,How many marvel cinematic universe movies are there?
Could you expand on Justin Gilbert Alba���s comments that the push from fans for diversity in creators and characters only represent a loud minority?,Justin Gilbert Alba diveristy Marvel,what is marvels level of diversity?,is the CEO of marvel named justin or gilbert possibly?,how many marvel movies has jessica alba been in?,does gilbert godfried approve of marvel movies?,has justin timberlake done any pieces for any of marvel's soundtracks?,"when marvel was first started, was the employees that worked there for a diverse set of backgrounds?"
What is Marvel Studios��� approach to diversity for people of color?,Marvel Studios diversity people of color,how many people of color does marvel studio have employed?,how many people of color have held executive positions at marvel?,does marvel have a issue hiring people of color?,whats the level of diversity among employees at marvel studios?,how often does marvel studios hire people?,does marvel studios work appeal to a wide range of diverse people?
Tech salaries are all the rave now. How do I break into the tech industry?,How do I break into the tech industry?,whats the best way into the tech industry?,how to get a job in tech?,how to get a big break in tech sector?,whats the besty way to get a tech job?,why is it so hard to get into tech?,what tips will help me land a tech job?
Just how important is networking for me to break into the tech industry?,impact of networking to break into the tech industry,How important is networking in tech industry?,What is the impact of networking?,What are the benefits of networking?,What is networking in IT sector?,Why networking is important for career development?,What is the meaning of networking?
That���s not quite right. I���ve heard that having a degree is not as important as it used to be for breaking into the tech industry.,impact of degree on tech industry,Do tech companies care about degrees?,What degrees are tech companies looking for?,Do tech companies hire people without degrees?,What is the degree impact?,How will college degree impact your life?,How does college degree affect society?
Why Ukraine is not in the EU?,Ukraine and EU,Is Ukrain is European Union?,What are the difference between the UKraine and the EU?,Is Ukraine the largest country in Europe?,Where is Ukraine located in Europe?,What is the History of Ukraine and European?,What country started EU and why?
I want to learn more about the figures,history of Kyiv Rus figures,WANT TO LEARN ABOUT THE HISTORY OF KYIV RUS STATISTICS?,WHO WERE THE LEADERS OF KYIV RUS?,WAS KYIV RUS A VIKING?,WHY IS IT CALLED KYIV RUS?,WHAT MADE THE CITY OF KIEV SO IMPORTANT TO THE KIEVAN RUS?,WHAT TO LEARN ABOUT KIEVAN RUS?
DId he introduce Christianity there?,Vladimir the Great,Would you like to see pictures of his statue?,What kind of information are you looking for? News or general information about Vladimir the Great.,Where was Vladimir the Great from?,What title did Vladimir the Great hold?,What religion did Vladimir the Great practice?,What year did Vladimir the Great die?
What about Princess Olga the grandmother of Vladdimir?,Princess Olga the grandmother of Vladdimir,how long did princess olga live?,"in what time period did vladdimir, princess olga's grandson live?",was princess olga a good princess?,"what ever happened to vladdimir, the grandson of princess olga?",how did vladdimir die?,how did princess olga die?
Places,africa Places,What are the best places in Africa to travel?,Are you interested in travelling to Africa?,How many countries are in Africa?,Why are the countries in Africa divided up?,What is the largest country in Africa?,What are the best ten places to visit in Africa?
How big is Amazon?,How big is Amazon?,What is the largest Amazon warehouse?,How did Amazon expanded so big?,Why did Amazon became one of the biggest companies?,Would you like to make a big order from Amazon?,What the top largest warehouses Amazon owns?,Which Amazon warehouse are you intersted in looking?
Company,amazon company,When was Amazon formed?,Where is Amazon's main headquarters?,Are you looking for Amazon orders?,What did Amazon sold in the past?,When did Amazon started selling home videos?,Why is Amazon named by the forest?
How old is Andy Jassy?,Andy Jassy,When did Andy Jassy took over Amazon?,Would you like to know more aabout Andy Jassy?,What did Andy Jassy work for before becoming Amazon CEO?,When is it Andy Jassy's birthday?,Why did Andy Jassy became Amazon CEO?,Whta is Andy Jassy's current title in Amazon?
How big is Amazon river?,Amazon river,What is the history of the Amazon River?,How long does the Amazon River go far?,Is the Amazon River endanger of global warming?,What countries touch the Amazon River?,Is the Amazon River safe to fish?,Why is the Amazon Rivr important to the world?
Which countries does Amazon River flows through?,Amazon River countries,What countries are covered by the Amazon River?,How long is the Amazon River?,How many countries are by the Amazon River?,Are you interested on the Amazon River?,Why is the Amazon River long?,Is the Amazon River safe to swim on?
What are nice activities to do in Amazon river area?,Amazon river activities,What kind of activities are there to do in the amazon forest's river area?,Do you enjoy watching documentaries about the amazon and its river activities?,How to get to the amazon river to enjoy water activities?,Are there any rules regarding activities near the amazon river?,Should we learn about animals in the amazon before enjoying river activities?,Do you agree college students should enjoy amazon river activities when they visit?
Plants,Plants,Why are plants important to the planet?,Are you interested in plants?,What are the best plants to maintain?,Would you like directions to buy a plant?,What are the top ten plants?,Which plant is the most rare to find?
Which plants have medical properties?,Which plants have medical properties?,Are you looking for plants that have medical properties?,What are the best plants that help with rashes?,Which plant helps out with tooth pain?,Why do plants give out medical properties?,What plant helps cure with ear infection?,How many plants help with medical problems?
Where does Mandrake grow?,Mandrake,Where can I find mandrakes?,Are you interested in researching mandrakes?,What are the benefitss of mandrakes?,Why are mandrakes good for medical uses?,How long do mandrakes take to grow?,Can I use mandrakes for my tea?
where does Marshmallow root grow?,Marshmallow root,What are marshmallows used for?,Can I eat marshmallow roots?,Where can I find marshmallow roots?,What are the benefits of marshmallow roots?,Are marshmallow roots edible?,What are marshmallow roots?
which plants help to cure stomach ache?,which plants help to cure stomach ache?,Are you looking for plants for a cure?,What are the best plants for stomach issues?,Are plants good for curing stomach pains?,Where can I find plants for stomach aches?,Why are plants good for curing stomach pains?,Can I use a plant for stomach aches?
which plants help to cure stomach ache except for Peppermint?,which plants help to cure stomach ache except for Peppermint?,Why doesn't peppermint help with stomach aches?,What are the best plants for stomach aches?,Are you looking for stomach ache cures?,How many plants are good for stomach aches?,Can I use something else besides a plant for stomach problems?,How do plants help with stomach pain?
does lemon help with stomach ache?,does lemon help with stomach ache?,What can I do to stop a stomach ache?,Can I use a lime for a stomach ache?,Why are lemons good for stomach problems?,Wha else are lemons good for?,What can I use for stomach aches?,What are the best cures for stomach aches?
does lemon help with stomach ache?,does lemon help with stomach ache?,Does lemon helps digestion?,Do you like your juice lemon with 100% sugar on it?,Does lemon have a high accidity to acts as a stomach acids?,Are you refering to riped lemon or unriped lemon?,How many lemon does it need to cure stomach ache?,What's good hot lemon or cold lemon?
Memory,Memory,Are you looking for memory cards?,What are the best ways to keep your memories safe?,Where can I buy memory cards for the Gamecube?,What foods help with the brain?,Why can't I remember everything as a kid?,How long do memories last?
Are there some exercises to improve memory?,exercises to improve memory,What kind of exercises do you do to improve your memory?,When do you do exercises to improve your memory?,Can you do more exercises now or before your stroke?,How can one improve their memory loss with exercise?,Don't you think exercising to improve memory also improves ones concentration skills?,Can physical exercise assist with memory loss and brain acitvity?
Are there some exercises to improve memory?,exercises to improve memory,What are the best workouts for maintaining a better memory?,Why do I need to workout to improve my memory?,Are you looking for improving your memory?,What exercises can I do to improve my memory if my leg hurts?,How many types of workouts help with the brain?,Would you like to know more about brain workouts?
Are there some exercises to improve memory for seniors?,memory of seniors,Why do old people forget sometimes?,What can I do with a senior who has bad memories?,What are the best ways for seniors to remember more?,Are you looking for seniors who have good memories?,What can I do to keep my memory safe from age?,Does going outside help seniors with memory?
what are the memory exercises for children,memory of children,Do children have good memories?,How long do children rememer their past?,What can be done to give children better memories?,Why do children need to remember their memories?,What are the best memories you had as a child?,Are you looking for best childhood memories?
what are the causes of long-term memory loss?,long-term memory loss,When did the memory loss begin?,Do you think the long-term memory loss could be permanent?,How can one slow down memory loss while aging?,Are you trying to prevent long-term memory loss?,"How many years do you consider ""long-term"" in reference to memory loss?",Should I hid my memory loss from my loved ones?
How climate change affects developing countries more than rich countries.,task was too difficult and massively underpaid,are poorer countries more affected by climate change?,are richer countries responsible for climate change?,should richer countries pay poorer countries for causing climate change?,do poorer countries need additional financing to combat climate change?,are rich countries contributing enough to help mitigate climate change?,1536 x 824
Working in Tech,{},whay course shoul i go ?,do i need a degree to work in tech?,what are the basic elements in tech?,help me find any tech indusry around.,can you help with information about working in tech?,1024 x 738
Is the Paris Agreement related to COP26 in Glasgow?,Is the Paris Agreement related to COP26 in Glasgow?,Is there a Glasgow agreement?,Is Glasgow pact agreement legally binding?,How will Glasgow be affected by COP26?,What is the difference between COP26 and the Paris agreement?,How many countries agreed Glasgow climate Pact?,What will be impact of the Glasgow impact in the world?
Where does the US stand on the Paris Agreement now that Biden is the President?,Biden’s stand on Paris Agreement,What Is Bidens Climate Policy ?,What Is Bidens Envitonmental Policy?,What Is Joe Bidens Position On The Paris Agreement ?,What Is The Official US Policy On The Paris Agreement?,What Does Biden Think About Climate Change ?,What Are The US Paris Agreement Goals ?
Where does the US stand on the Paris Agreement now that Biden is the President?,Biden’s stand on Paris Agreement,What does Biden think about Paris agreement?,How does Biden reason  about Paris agreement?,What part does Biden support in the Paris agreement,What is the main arguement that Biden has on Paris agreement?,Does Biden have a stance in Biden agreement?,Did Biden express himself in the Paris agreement?
How is the Biden’s administration doing in regards to achieving its emissions?,How is the Biden’s administration doing in regards to achieving its emissions?,What is the Biden administration's progress on green house gas emissions?,Did Biden sign an executive order to reduce emissions?,What is Biden's goal for reducing emissions?,How does the recent Supreme Court ruling affect Biden's attempt to lower emissions?,Is Biden leaving emissions control up to the states?,How will Biden manage emissions and not make the economy even worse?
What types of essential oils should I consider when making my own scented lotion?,What types of essential oils should I consider when making my own scented lotion?,What Is The Best Lotion To Add essential Oils To?,What Is The Best Oil To Mix With Lotion?,What Are The Best Essential Oils To Mix With Uscented Body Lotion?,What Are The Best Scents For Homeade Lotion?,How Much Fragrance Oil Should I Add To Lotion?,How Do You Make Homeade Lotion Smell Good?
how do I mix the unscented lotion and the essential oils?,how do I mix the unscented lotion and the essential oils?,Can You Put Essential Oils In Unsented Lotion?,How Much essential Oil Do I Add To Unscented lotion,How Do You Add Unsecnted Oils To Unscented Lotion?,How Do You Dilute Essential Oils With Lotion ?,What Is The best Oil To Mix With Lotion?,Can I Mix Essential Oils With Face Cream?
Motorola Moto G7 Power,Motorola Moto G7 Power,Where to buy Motrola Moto G7 Power?,Would you like to know how to unlock a Motorola Moto G7 Power?,Did you need a case for a Motorola Moto G7 Power?,What kind of charger is needed for a Motorola Moto G7 Power?,When should you upgrade from a Motorola Moto G7 Power?,What is the price range for a Motorola Moto G7 Power?
Motorola Moto G7 Power,Motorola Moto G7 Power,Is Mototola Moto G7 Power worth buying?,How long will be Moto G7 power be supported?,Is Moto G7 discontinued?,Is Moto G7 is 5g supported?,Where to buy Moto G7?,Are you Intrested in Buying Moto G7?
How much cheaper is the Samsung Galaxy A10e than the Motorola Moto G7 Power?,Samsung Galaxy A10e vs Motorola Moto G7 Power,Is Moto G Power worth buying?,Does this model having wireless charging support?,How long does it take to charging?,Does this Samsung phone support 5g network?,Does this work with a verizon wireless sim card?,Can the battery to removed?
Which iPhone should I get?,Which iPhone should I get?,Why do you like iPhone?,How much that iPhone?,Why are you bought a iPhone?,Where are you bought a iPhone?,Where did you get a iPhone?,Which model did you get?
Why aren’t other mobile platforms as good as Android or iOS?,Why aren’t other mobile platforms as good as Android or iOS?,Is Android better than IOS?,Which is the No 1 phone in the world?,Why hasn't anyone created a new mobile OS?,Can Andriod and IOS be challenged?,Why is it difficult to make a new mobile operating ststem?,Is there any operating system better than IOS and Android?
Why isn’t running on an empty stomach a good idea for leisure athletes?,Pros and cons of running on empty stomach,Should we do excercise on an empty stomach?,"Is running on empty stomach, in the morning after I awaken, good for loose weight?",Does running on an empty stomach burn more fat?,Can an empty stomach help running faster than usaul?,Is it better to excercise on an empty stomach all the time?,what to eat before or after running?
Why did the Nixon administration break in at Democratic National Committee?,Why did the Nixon administration break in at Democratic National Committee?,Who is Deep Throat?,Did the DNC do the same thing to the RNC but were not caught?,What is executive privilege?,Did Nixon have to resign?,Who was the source for Bon Woodward?,Where is the Watergate Hotel?
Did Congress and federal prosecution get Nixon's taped conversations in the Oval Office?,Did Congress and federal prosecution get Nixon's taped conversations in the Oval Office?,Do you like to know more about Congress and federal prosecution?,would you like to know the letest news abuot how Congress and federal prosecution get Nixon's taped conversations in the Oval Office?,What happened to the Nixon tapes?,What case decided that Nixon had to give up the Oval Office tapes?,Who erased the Nixon tapes?,What articles of the constitution were used toward the impeachment of Nixon?
What effects did the Watergate scandal have on President Nixon's legacy?,What effects did the Watergate scandal have on President Nixon's legacy?,How did life change after the Watergate scandal,What lessons does Richard Nixon provide us regarding the Watergate scandal?,Have historians reevaluate Nixon's legacy because of Watergate?,How long did Richard Nixon stay out of the spotlight after resigning?,Did the nation view Richard Nixon differently?,Do people today still view Nixon differently than they did in 1974?
What effects did the Watergate scandal have on President Nixon's legacy?,What effects did the Watergate scandal have on President Nixon's legacy?,What should President Nixon be remembered for?,What lesson does President Nixon's legacy teach us?,Did Watergate harm President Nixon's legacy?,What effect did Watergate have on President Nixons Legacy?,What kind of President was Richard Nixon?,What is Richard Nixon remembered for?
What effects did the Watergate scandal have on President Nixon's legacy?,What effects did the Watergate scandal have on President Nixon's legacy?,What was Watergate?,How did Watergate effect Richard Nixon?,Did Richard Nixon get impreached due to Watergate?,In what ways did Watergate affect Nixon?,Watergate scandal,Richard Nixon history
What effects did the Watergate scandal have on President Nixon's legacy?,What effects did the Watergate scandal have on President Nixon's legacy?,Were there any effects on the power of the presidency after Watergate?,What are the post Watergate reforms?,How did the Watergate scandal affect politics?,What happened to Nixon after Watergate?,How did the Watergate scandal change the country?,What was the importance of Watergate on American politics?
What’s the story behind Bob Woodward and Carl Bernstein’s informant’s name “Deep Throat”?,What’s the story behind Bob Woodward and Carl Bernstein’s informant’s name “Deep Throat”?,What did deep Throat say to Woodward and Bernstein?,How did Bob Woodward get the name Deep Throat?,What did Deep Throat do in the Watergate case?,Was depp Throat a collection of sources?,Who are Bob Woodward And Carl Bernstein?,Who Was Bob Woodward And Carl Benstein?
Did the public ever find out who Deep Throat was?,Did the public ever find out who Deep Throat was?,Who was nicknamed Deep Throat?,Who was the informant in Watergate?,What was the informant name in the Watergate scandal?,Who was the suspected canidate in Watergate?,Who was the secret informant who provided information and nicknamed Deep Throat?,Who was the person provided information in 1972 named Deep Throat?
"What do you think about Bostrom's ""simulation argument""?","What do you think about Bostrom's ""simulation argument""?",What does Bostrom conclude?,Are you living in a computer simulation bostrom summary?,what do you mean by simulation?,what is simulation therory of mind?,What is the simulation therory of congnition?,what is simulation theory?
"Which of Bostrom's ""simulation argument"" trilema is most likely?","Which of Bostrom's ""simulation argument"" trilema is most likely?",What happens to the simulation argument if the universe is infinite?,How has the simulation argument affected how you live?,Can the simulation argument be generalized?,Do you really believe that we are in a computer simulation?,Does Bostrom's simulation argument make sense?,Is the simulation argument ignores epistemological problems?
"What do other philosophers think about Bostrom's ""simulation argument""?","What do other philosophers think about Bostrom's ""simulation argument""?",How many options does he give for the simulation/anscestor simulation theory?,Whe was the simulation argument proposed by Bostrom?,Does Bostrom have a preference for one of the three options?,"If option one and two are not viable, are we then most likely in a simulation?",Can this theory be tested with modern science?,Has there been any concrete edvidence that we live in a simulation?
How would we know that we are living in a simulation?,How would we know that we are living in a simulation?,What is de ja vu?,what is a simulation?,is there life after death?,what is the nature of reality?,is reincarnation real?,is God a giant computer?
How would we know that we are living in a simulation?,How would we know that we are living in a simulation?,What proof is there we live in a simulation?,What evidence is there we are in a simulation?,How can we be sure of simulation theory?,Which is the best evidence we are all a simulation?,How do we know simulation theory is real?,What is the strongest supporting evidence for simulation theory?
